,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
16,,,Scott Brooks,Career,92.0,48.0,44.0,0.522,783,460.0,323.0,0.5870000000000001,
3,WAS,56.0,Jim Brovelli,1998-99,,,,,18,5.0,13.0,0.278,6.0
4,,,Jim Brovelli,Career,,,,,18,5.0,13.0,0.278,
9,PHI,52.0,Brett Brown,2013-14,,,,,82,19.0,63.0,0.23199999999999998,5.0
10,PHI,53.0,Brett Brown,2014-15,,,,,82,18.0,64.0,0.22,4.0
11,PHI,54.0,Brett Brown,2015-16,,,,,82,10.0,72.0,0.122,5.0
12,PHI,55.0,Brett Brown,2016-17,,,,,82,28.0,54.0,0.341,4.0
13,PHI,56.0,Brett Brown,2017-18,10.0,5.0,5.0,0.5,82,52.0,30.0,0.634,3.0
14,PHI,57.0,Brett Brown,2018-19,,,,,74,47.0,27.0,0.635,2.0
15,,,Brett Brown,Career,10.0,5.0,5.0,0.5,484,174.0,310.0,0.36,
1,DET,39.0,Herb Brown,1975-76,9.0,4.0,5.0,0.444,40,19.0,21.0,0.475,2.0
2,DET,40.0,Herb Brown,1976-77,3.0,1.0,2.0,0.33299999999999996,82,44.0,38.0,0.537,2.0
3,DET,41.0,Herb Brown,1977-78,,,,,24,9.0,15.0,0.375,4.0
16,,,Herb Brown,Career,12.0,5.0,7.0,0.41700000000000004,146,72.0,74.0,0.493,
2,KEN,41.0,Hubie Brown,1974-75,15.0,12.0,3.0,0.8,84,58.0,26.0,0.69,1.0
3,KEN,42.0,Hubie Brown,1975-76,10.0,5.0,5.0,0.5,84,46.0,38.0,0.5479999999999999,4.0
4,ATL,43.0,Hubie Brown,1976-77,,,,,82,31.0,51.0,0.37799999999999995,6.0
5,ATL,44.0,Hubie Brown,1977-78,2.0,0.0,2.0,0.0,82,41.0,41.0,0.5,4.0
6,ATL,45.0,Hubie Brown,1978-79,9.0,5.0,4.0,0.556,82,46.0,36.0,0.561,3.0
7,ATL,46.0,Hubie Brown,1979-80,5.0,1.0,4.0,0.2,82,50.0,32.0,0.61,1.0
8,ATL,47.0,Hubie Brown,1980-81,,,,,79,31.0,48.0,0.392,4.0
9,NYK,49.0,Hubie Brown,1982-83,6.0,2.0,4.0,0.33299999999999996,82,44.0,38.0,0.537,4.0
10,NYK,50.0,Hubie Brown,1983-84,12.0,6.0,6.0,0.5,82,47.0,35.0,0.573,3.0
11,NYK,51.0,Hubie Brown,1984-85,,,,,82,24.0,58.0,0.293,5.0
12,NYK,52.0,Hubie Brown,1985-86,,,,,82,23.0,59.0,0.28,5.0
13,NYK,53.0,Hubie Brown,1986-87,,,,,16,4.0,12.0,0.25,5.0
14,MEM,69.0,Hubie Brown,2002-03,,,,,74,28.0,46.0,0.37799999999999995,6.0
15,MEM,70.0,Hubie Brown,2003-04,4.0,0.0,4.0,0.0,82,50.0,32.0,0.61,4.0
16,MEM,71.0,Hubie Brown,2004-05,,,,,12,5.0,7.0,0.41700000000000004,4.0
17,,,Hubie Brown,Career,63.0,31.0,32.0,0.49200000000000005,1087,528.0,559.0,0.486,
0,CAR,32.0,Larry Brown,1972-73,12.0,7.0,5.0,0.583,84,57.0,27.0,0.679,1.0
1,CAR,33.0,Larry Brown,1973-74,4.0,0.0,4.0,0.0,84,47.0,37.0,0.56,3.0
2,DNA,34.0,Larry Brown,1974-75,13.0,7.0,6.0,0.5379999999999999,84,65.0,19.0,0.774,1.0
3,DNA,35.0,Larry Brown,1975-76,13.0,6.0,7.0,0.462,84,60.0,24.0,0.7140000000000001,1.0
4,DEN,36.0,Larry Brown,1976-77,6.0,2.0,4.0,0.33299999999999996,82,50.0,32.0,0.61,1.0
5,DEN,37.0,Larry Brown,1977-78,13.0,6.0,7.0,0.462,82,48.0,34.0,0.585,1.0
6,DEN,38.0,Larry Brown,1978-79,,,,,53,28.0,25.0,0.528,2.0
7,NJN,41.0,Larry Brown,1981-82,2.0,0.0,2.0,0.0,82,44.0,38.0,0.537,3.0
8,NJN,42.0,Larry Brown,1982-83,,,,,76,47.0,29.0,0.618,3.0
9,SAS,48.0,Larry Brown,1988-89,,,,,82,21.0,61.0,0.256,5.0
10,SAS,49.0,Larry Brown,1989-90,10.0,6.0,4.0,0.6,82,56.0,26.0,0.6829999999999999,1.0
11,SAS,50.0,Larry Brown,1990-91,4.0,1.0,3.0,0.25,82,55.0,27.0,0.6709999999999999,1.0
12,SAS,51.0,Larry Brown,1991-92,,,,,38,21.0,17.0,0.5529999999999999,2.0
13,LAC,51.0,Larry Brown,1991-92,5.0,2.0,3.0,0.4,35,23.0,12.0,0.657,5.0
14,LAC,52.0,Larry Brown,1992-93,5.0,2.0,3.0,0.4,82,41.0,41.0,0.5,4.0
15,IND,53.0,Larry Brown,1993-94,16.0,10.0,6.0,0.625,82,47.0,35.0,0.573,3.0
16,IND,54.0,Larry Brown,1994-95,17.0,10.0,7.0,0.588,82,52.0,30.0,0.634,1.0
17,IND,55.0,Larry Brown,1995-96,5.0,2.0,3.0,0.4,82,52.0,30.0,0.634,2.0
18,IND,56.0,Larry Brown,1996-97,,,,,82,39.0,43.0,0.47600000000000003,6.0
19,PHI,57.0,Larry Brown,1997-98,,,,,82,31.0,51.0,0.37799999999999995,7.0
20,PHI,58.0,Larry Brown,1998-99,8.0,3.0,5.0,0.375,50,28.0,22.0,0.56,3.0
21,PHI,59.0,Larry Brown,1999-00,10.0,5.0,5.0,0.5,82,49.0,33.0,0.598,3.0
22,PHI,60.0,Larry Brown,2000-01,23.0,12.0,11.0,0.522,82,56.0,26.0,0.6829999999999999,1.0
23,PHI,61.0,Larry Brown,2001-02,5.0,2.0,3.0,0.4,82,43.0,39.0,0.524,4.0
