,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
264,DET,63.0,Larry Brown,2004,23.0,16.0,7.0,0.696,82,54.0,28.0,0.659,2.0
265,DET,64.0,Larry Brown,2005,25.0,15.0,10.0,0.6,82,54.0,28.0,0.659,1.0
266,NYK,65.0,Larry Brown,2006,,,,,82,23.0,59.0,0.28,5.0
267,CHA,68.0,Larry Brown,2009,,,,,82,35.0,47.0,0.4270000000000001,4.0
268,CHA,69.0,Larry Brown,2010,4.0,0.0,4.0,0.0,82,44.0,38.0,0.537,4.0
269,CHA,70.0,Larry Brown,2011,,,,,28,9.0,19.0,0.321,4.0
271,CLE,35.0,Mike Brown,2006,13.0,7.0,6.0,0.5379999999999999,82,50.0,32.0,0.61,2.0
272,CLE,36.0,Mike Brown,2007,20.0,12.0,8.0,0.6,82,50.0,32.0,0.61,2.0
273,CLE,37.0,Mike Brown,2008,13.0,7.0,6.0,0.5379999999999999,82,45.0,37.0,0.5489999999999999,2.0
274,CLE,38.0,Mike Brown,2009,14.0,10.0,4.0,0.7140000000000001,82,66.0,16.0,0.805,1.0
275,CLE,39.0,Mike Brown,2010,11.0,6.0,5.0,0.545,82,61.0,21.0,0.7440000000000001,1.0
276,LAL,41.0,Mike Brown,2012,12.0,5.0,7.0,0.417,66,41.0,25.0,0.621,1.0
277,LAL,42.0,Mike Brown,2013,,,,,5,1.0,4.0,0.2,3.0
278,CLE,43.0,Mike Brown,2014,,,,,82,33.0,49.0,0.402,3.0
280,BRK,55.0,Tony Brown,2016,,,,,45,11.0,34.0,0.244,4.0
282,CHS,42.0,Philip Brownstein,1949,,,,,11,10.0,1.0,0.909,3.0
283,CHS,43.0,Philip Brownstein,1950,2.0,0.0,2.0,0.0,68,40.0,28.0,0.588,4.0
285,DAL,39.0,Quinn Buckner,1994,,,,,82,13.0,69.0,0.159,6.0
287,SEA,39.0,Bucky Buckwalter,1973,,,,,37,13.0,24.0,0.35100000000000003,4.0
288,UTS,41.0,Bucky Buckwalter,1975,,,,,56,24.0,32.0,0.429,4.0
290,ATL,44.0,Mike Budenholzer,2014,7.0,3.0,4.0,0.429,82,38.0,44.0,0.463,4.0
291,ATL,45.0,Mike Budenholzer,2015,16.0,8.0,8.0,0.5,82,60.0,22.0,0.732,1.0
292,ATL,46.0,Mike Budenholzer,2016,10.0,4.0,6.0,0.4,82,48.0,34.0,0.585,2.0
293,ATL,47.0,Mike Budenholzer,2017,6.0,2.0,4.0,0.333,82,43.0,39.0,0.524,2.0
294,ATL,48.0,Mike Budenholzer,2018,,,,,82,24.0,58.0,0.293,5.0
295,MIL,49.0,Mike Budenholzer,2019,,,,,74,55.0,19.0,0.743,1.0
297,BLB,25.0,Walt Budko,1951,,,,,29,10.0,19.0,0.345,5.0
299,DET,30.0,Donnie Butcher,1967,,,,,8,2.0,6.0,0.25,5.0
300,DET,31.0,Donnie Butcher,1968,6.0,2.0,4.0,0.333,82,40.0,42.0,0.488,4.0
301,DET,32.0,Donnie Butcher,1969,,,,,22,10.0,12.0,0.455,6.0
303,DEN,50.0,Jeff Bzdelik,2003,,,,,82,17.0,65.0,0.207,7.0
304,DEN,51.0,Jeff Bzdelik,2004,5.0,1.0,4.0,0.2,82,43.0,39.0,0.524,6.0
